,true_category,predicted_categorys
116746,28,3
1673,4,4
55843,6,1
58644,19,25
62868,7,4
16144,4,4
17933,25,25
115528,20,9
9694,2,15
12138,4,4
86132,15,4
17890,3,25
36319,3,8
101066,23,4
34011,13,4
70023,4,4
65811,6,1
5824,4,4
82438,1,1
37598,4,4
41545,23,4
116884,18,3
46957,4,4
18247,8,8
106175,4,4
96976,7,7
14399,20,7
49341,4,4
33918,4,4
76209,8,1
41438,4,4
12423,4,4
91636,1,7
118897,12,26
116771,25,25
71902,13,13
104462,6,6
40792,26,4
10723,6,7
38525,4,25
83618,1,1
88965,6,4
3483,8,8
100946,9,15
7653,10,10
16107,4,4
40417,4,4
48607,4,6
117384,24,7
68216,4,26
10259,10,15
122880,4,4
34147,4,4
87461,11,11
69512,4,4
113583,1,1
16801,4,4
8941,20,20
66208,9,9
83662,1,1
49609,4,4
40336,4,4
32931,4,4
120679,10,10
6729,4,4
119543,11,11
118006,23,25
43282,4,4
6651,10,4
22817,4,26
26577,6,1
20787,2,4
10570,20,25
40228,13,4
58229,4,4
7411,17,8
39608,4,23
27901,4,4
83665,8,8
49668,1,1
60443,7,1
83541,4,4
3313,4,4
80622,1,10
115563,11,7
29841,25,25
36588,4,4
106124,23,25
42526,26,28
19837,4,13
45755,8,14
96116,20,20
85281,25,25
19966,1,5
111138,24,25
60056,3,20
66410,4,4
22780,4,8
119453,4,4
19827,6,4
76122,10,10
923,13,4
119490,4,4
49799,4,11
55953,3,4
93174,11,8
66657,25,20
107269,11,25
66443,4,4
112458,7,7
39707,10,25
68757,9,9
73661,25,25
6755,1,1
65248,4,28
97395,4,4
85891,28,28
114169,18,3
41537,1,4
40886,18,25
104574,11,7
53110,8,8
41782,8,4
40848,25,25
80034,4,4
45634,13,4
67477,1,1
78721,4,4
110808,23,11
97587,28,4
65728,1,1
31277,4,4
21353,2,13
92972,11,11
53715,12,7
115569,11,23
104711,6,6
79954,4,4
93689,24,24
104104,3,4
121268,1,5
77040,14,4
41820,4,4
104469,1,4
17168,17,25
48483,8,25
8236,4,4
93296,1,1
43274,13,13
9682,1,1
77750,10,10
64420,25,5
55784,4,4
7740,4,11
58637,4,4
59620,6,23
30045,20,25
46934,13,13
2776,1,1
57116,4,4
101324,12,3
4689,1,1
77455,14,1
90087,4,4
108482,3,9
54539,4,4
11723,1,1
12662,24,11
121726,4,4
4941,6,6
100129,7,25
117587,3,7
47902,1,1
35103,1,1
37438,4,4
25691,4,4
69751,0,4
123274,29,11
68467,4,24
62169,4,4
16113,25,25
473,1,1
115568,23,23
71113,26,26
47854,4,9
77075,25,28
3904,4,4
77718,4,4
62728,21,10
95418,16,25
116083,30,1
52102,4,4
37313,1,9
81413,8,8
117918,11,4
35248,4,3
123009,29,25
42627,1,5
13670,7,7
97863,20,6
75668,8,25
45496,4,4
70748,26,26
96027,6,6
112095,4,25
59357,20,4
109667,7,3
39998,4,4
6241,10,10
6231,4,4
30204,4,9
81674,4,4
96709,4,4
28458,21,4
116636,23,4
9996,2,15
820,4,1
49927,4,4
36218,4,4
56933,6,20
15951,25,4
59110,4,1
114788,24,24
25985,26,15
118013,4,4
70242,14,7
110646,1,1
121595,3,10
2173,4,4
12479,4,4
54082,26,4
72945,4,4
122529,6,1
3253,4,4
10308,6,4
24040,6,1
42130,5,7
17779,1,4
103492,22,1
56701,4,4
92033,30,9
109352,11,11
42233,4,4
62836,10,4
122848,22,1
65386,16,7
73977,9,9
23476,4,4
24627,1,1
74214,13,11
23568,9,4
94189,11,25
119262,3,11
69255,4,4
115876,11,25
75435,15,1
13483,10,1
51708,3,3
55181,8,4
118244,16,4
48369,23,25
48000,26,28
79615,23,3
95356,8,1
4508,1,4
37166,26,26
45522,1,1
67572,25,25
58484,23,4
70127,13,0
71338,8,1
65335,7,7
40153,20,23
112839,8,4
82647,13,13
69873,1,1
53090,13,4
96610,25,25
65297,4,4
111166,24,24
32810,1,4
8295,1,6
19778,22,22
122099,10,4
66183,1,1
101277,1,1
86325,11,11
19766,6,6
51554,9,1
36278,4,4
44197,10,10
49687,9,9
54168,4,4
89636,1,1
119575,8,7
113207,25,25
41436,16,4
4770,6,6
121357,9,11
122065,19,11
29536,8,4
60367,25,25
77342,21,1
85518,19,3
62250,5,1
74380,7,15
24244,23,28
111331,9,1
116990,28,25
121895,28,26
106736,4,4
87868,3,3
24477,2,26
2771,4,4
90305,18,6
34525,4,4
4197,4,4
119547,4,4
40835,1,1
1866,9,9
93760,11,11
69251,4,4
101740,5,10
114848,3,25
514,6,22
102199,13,13
109605,12,20
115735,10,26
55325,20,3
114427,1,7
33021,1,1
95337,22,1
46846,4,4
124139,9,9
103599,11,11
53845,4,4
63527,5,4
58578,6,1
118361,24,25
100059,11,9
18938,25,4
100310,1,1
54430,1,1
26938,4,25
69097,0,4
97791,4,4
94394,1,1
124646,7,25
90015,28,15
5396,1,4
58111,26,2
86918,4,4
73577,1,6
1273,9,9
8205,4,4
117130,24,25
4244,1,1
74533,1,1
112477,28,4
20549,4,4
91477,4,4
113542,3,1
36209,20,20
91289,11,4
42490,4,4
1879,4,0
4007,1,1
75887,4,4
60081,4,4
62578,0,5
21908,2,4
115348,29,12
88100,20,20
2742,4,4
99411,30,1
10049,5,5
95541,28,26
104880,15,7
94706,30,1
99033,13,4
114241,7,7
81329,13,13
71391,5,0
74529,20,27
96374,7,20
107255,11,24
68662,10,0
64804,9,9
34135,4,4
8479,2,25
29618,26,26
2996,1,1
9801,4,3
71415,13,17
60228,4,8
97227,4,4
69237,27,1
56740,4,4
62902,1,1
70317,12,7
94029,4,6
84143,1,1
20741,14,11
3395,1,1
37012,9,9
29037,6,7
121487,30,30
123608,23,7
56641,4,4
88338,4,15
111181,23,23
106860,6,1
100172,10,10
34960,4,4
40340,5,5
70614,16,25
35943,7,4
86553,4,4
21197,4,4
80657,1,7
58646,22,22
78297,9,1
102301,1,1
45931,5,5
105658,24,24
85459,27,1
33607,1,1
103628,7,11
31762,12,8
110726,3,23
117566,11,4
7768,13,13
49315,1,1
103989,25,3
16404,6,0
118958,9,9
95004,8,8
95715,11,25
81128,0,0
42441,26,26
61511,4,4
109656,4,28
3584,4,4
91554,30,7
62359,4,4
58340,10,4
21884,20,20
56362,17,1
76053,27,1
25980,20,20
96361,4,4
68229,6,1
14186,25,4
29807,1,1
95439,8,20
58970,10,1
102885,1,1
107834,4,4
45035,4,4
38572,1,1
30200,4,4
6059,1,1
27721,4,4
65905,0,0
79898,10,6
115824,0,0
29649,4,4
73810,24,24
21103,2,4
144,2,26
93111,11,4
113482,7,3
108733,4,4
58768,13,13
82827,4,4
99776,25,25
104018,15,7
60111,25,25
76938,6,16
110024,19,9
97200,8,7
107354,12,12
2367,1,1
13779,4,4
6151,4,1
95536,12,7
86531,0,0
21371,2,4
112225,25,25
63631,4,4
17090,22,7
10053,25,25
21437,0,0
50056,26,4
8773,9,9
79657,10,10
43716,5,5
18539,4,4
114013,5,1
98982,24,24
15825,4,4
24080,4,4
119429,8,8
39485,4,4
45069,6,1
11293,13,4
71582,4,4
3570,1,8
62557,4,4
3473,4,4
107650,12,8
3522,1,9
84180,4,4
63407,16,4
45719,4,4
26846,26,23
30272,20,1
102541,28,1
50196,20,20
48184,9,9
44418,4,4
69279,4,4
48618,4,4
50080,20,10
63216,16,16
53588,19,4
124673,4,4
116820,30,7
49090,27,5
8970,1,1
108881,10,10
43068,15,4
6936,4,4
71414,0,0
84115,1,1
74117,13,13
18838,4,4
88882,29,1
52126,21,1
49333,25,25
12275,4,4
78795,0,0
22058,2,3
28771,4,13
85763,7,7
80204,23,0
85628,8,8
38978,21,14
93372,25,25
83419,1,10
113024,4,4
65730,23,20
113192,28,13
8686,1,1
19660,25,11
32108,25,4
47439,4,4
47268,4,4
18828,2,20
63579,26,26
82149,26,28
30812,4,4
115421,11,25
64883,16,16
61283,4,4
118511,25,25
77121,4,4
2006,5,4
31638,4,4
47432,1,1
48467,25,25
72143,4,4
54773,21,1
111392,4,4
54768,1,1
95372,1,1
35642,1,1
72057,1,1
18598,4,4
41557,4,24
114335,7,1
116977,22,1
35054,4,4
47799,6,1
99346,25,24
39391,17,4
52007,0,0
19339,3,2
117976,1,1
48593,22,7
86032,26,28
67108,4,4
7878,4,4
11535,1,9
87279,4,9
8063,4,1
108958,4,4
35834,4,4
81639,1,4
106048,9,9
73113,5,5
120803,9,9
91001,16,8
81600,1,11
38040,1,1
4604,13,1
108153,20,29
121919,13,4
68330,0,0
96641,25,25
16183,4,4
6924,6,5
54286,21,1
68074,14,11
27811,4,4
65655,4,4
3690,4,4
77829,19,4
98255,25,25
13656,4,1
108600,25,5
107523,4,4
103380,9,7
60597,4,4
24141,4,4
15245,23,0
77133,1,9
43818,20,20
58834,1,1
108123,27,1
39747,4,4
118468,29,11
64083,4,4
79179,4,4
74151,23,7
50487,4,4
27480,4,4
7794,4,4
101879,30,10
89249,4,4
113680,4,28
73536,27,5
43867,4,4
57903,22,22
47166,4,4
22946,4,1
22006,4,4
42093,23,20
123545,20,29
1108,4,4
79075,26,4
50136,10,10
7108,16,7
90334,0,4
115380,28,4
29163,26,26
18490,4,4
13038,4,4
26217,4,4
37398,13,4
106050,8,8
73941,5,4
95100,11,11
15337,4,4
21486,6,1
54108,25,25
161,6,0
32452,22,8
31873,8,8
10026,7,4
67634,4,25
89556,13,5
80595,9,9
77663,6,1
80592,1,1
29368,4,4
31988,4,4
99179,29,25
83410,26,4
10489,4,4
62198,27,7
20677,4,4
77873,4,4
76578,9,9
6362,9,9
24803,4,4
17240,9,9
117293,7,22
6313,1,6
100954,4,4
59419,26,15
90708,30,1
61641,1,1
56877,11,9
115694,25,25
37114,6,6
60762,15,15
40749,5,4
89383,4,28
83664,4,4
115063,4,7
54179,21,9
14827,4,4
71489,21,30
12435,4,4
83862,13,7
72612,14,25
23025,7,4
88103,8,22
20796,7,1
75372,9,4
55335,1,20
56013,9,9
81142,4,4
85911,22,22
94070,30,9
12172,4,4
39831,4,4
64728,1,1
6219,10,10
54311,26,4
32993,20,25
56870,4,1
30843,24,24
26031,25,25
47706,4,4
111412,10,4
87890,4,4
33191,25,25
6666,1,10
45398,10,5
45882,4,4
57833,1,1
32159,1,1
86729,20,20
81284,5,0
98464,3,10
73639,4,4
53779,25,16
70630,7,7
115863,11,11
37754,14,5
45736,4,10
58300,23,7
96415,22,1
102041,3,20
3635,1,1
117198,28,7
69303,22,22
113576,11,11
25716,2,4
52144,4,4
84702,9,9
2579,4,4
124298,4,4
119399,11,4
110722,11,4
23028,2,4
40367,14,11
26717,4,4
32188,5,20
66316,26,4
35551,22,1
65686,25,25
26840,9,9
93774,1,1
118326,10,10
121838,10,15
117924,4,15
59578,4,4
55281,4,4
16606,25,25
48986,8,10
6322,4,4
89842,19,4
80177,4,4
67461,4,4
48684,4,4
49758,1,1
65009,19,0
34192,1,1
49074,4,4
39557,12,12
44668,4,11
52803,15,9
27988,20,20
9985,4,4
60680,4,4
32339,8,1
87223,4,4
62330,26,26
60446,14,4
91927,3,25
9774,16,16
33751,26,26
75958,25,4
120415,5,8
26459,13,4
23643,2,26
103635,20,25
86977,7,25
44709,5,5
53519,4,4
117163,25,14
40444,20,5
79645,1,1
83612,8,1
116002,16,7
56841,9,9
75636,8,25
12400,4,4
111716,9,9
67408,4,4
1463,4,4
85142,8,1
54474,27,9
57809,11,4
87355,11,11
5671,4,4
81817,5,5
9624,4,4
4988,17,6
32631,13,1
124631,19,6
32198,1,1
67705,4,4
36482,4,4
32633,1,1
23044,2,26
1441,1,1
34180,4,4
31997,1,1
75258,10,15
83478,9,9
76258,11,12
34491,22,1
20356,1,1
28881,1,8
43157,8,5
23632,4,4
93702,7,20
110705,7,25
16969,22,4
98362,25,12
49644,4,4
97598,8,4
107199,11,7
92865,29,24
29926,22,22
58181,26,4
36242,4,4
74480,4,4
85912,1,1
102090,4,4
91838,20,7
80498,25,5
32444,4,4
20902,3,20
71816,1,1
3587,6,6
62152,4,9
48399,23,4
87162,1,7
79592,4,4
2731,8,8
4230,7,15
71768,4,4
117529,23,25
124503,13,13
97089,28,4
99967,24,24
79585,5,5
108648,25,3
97826,11,4
96542,19,4
52548,9,9
62838,3,4
32809,4,4
46631,25,25
55226,0,0
39085,3,25
29298,21,9
19716,4,9
85788,21,1
91711,4,11
16443,4,4
110509,24,24
107862,28,4
55539,23,4
119540,4,13
28326,4,4
13361,1,1
41491,4,6
6702,1,1
101905,3,3
70329,1,1
121748,7,9
68016,29,24
90792,4,9
1714,6,1
92151,4,4
43711,24,4
97433,9,9
99314,9,1
108013,7,7
75492,4,9
5467,4,4
104080,4,4
36508,4,4
123265,10,10
122287,30,25
74751,26,26
37042,4,4
15304,18,3
46735,4,4
101961,7,25
123442,25,25
42295,4,4
119850,23,28
81020,4,4
101417,4,4
6093,11,4
25889,6,3
1343,3,11
44468,21,20
82700,14,5
95857,15,3
25997,7,7
82261,6,4
11733,8,8
84410,4,4
98168,12,12
61298,17,30
110720,30,22
118582,4,4
13577,4,4
2547,4,0
88729,0,4
110869,24,11
16949,25,4
78457,4,4
48976,7,4
52517,4,4
63341,14,4
114315,16,16
49721,7,1
28097,4,4
78241,1,1
26443,25,25
113298,30,4
33648,4,4
45709,4,8
23692,4,4
78866,25,25
25643,6,20
61796,4,11
20993,17,1
84569,1,9
52631,6,4
37779,1,1
101626,7,6
75685,4,1
87661,3,25
108898,23,4
100935,15,15
17018,18,3
26621,26,11
10405,4,4
104287,1,1
24676,4,4
92061,15,3
47450,0,6
31326,17,1
68782,11,4
90953,23,11
26694,6,7
83603,5,13
68443,21,8
60292,25,20
80008,27,20
47464,8,8
94050,20,20
67014,19,4
89130,8,4
76880,8,4
71182,13,13
8229,4,1
92820,15,4
86015,8,8
31451,8,1
43986,25,4
105298,3,9
101355,25,30
24893,12,11
1143,6,1
46198,4,4
62616,0,0
42764,26,4
116793,1,0
42856,8,4
107167,4,4
18588,24,4
100682,29,22
71671,4,4
85710,25,25
79147,4,22
27750,1,1
32475,4,4
85949,4,4
56054,4,4
34991,1,1
81528,9,9
64528,1,1
3517,1,1
85660,6,4
97667,20,30
55410,17,4
3299,4,4
69488,4,4
78390,5,1
63481,6,6
31768,26,1
73587,5,27
91974,11,11
41937,4,4
122408,10,10
9235,7,7
43144,4,4
115070,19,3
39106,20,1
10218,4,4
28286,7,22
70876,6,1
13563,4,4
79945,4,4
27753,4,4
50043,1,4
108160,25,7
77378,8,1
57192,6,1
78168,4,4
49413,1,1
115264,4,28
114380,24,24
43621,24,25
120209,15,15
71734,22,1
114633,12,9
37922,4,4
59933,4,3
48126,10,10
78801,25,25
67999,4,4
123499,7,22
61911,4,4
55524,4,4
110916,4,4
41570,12,12
114923,16,16
79861,1,1
28717,7,7
97271,13,4
41608,11,11
73022,7,6
44892,4,4
90756,25,23
30647,4,4
65706,20,1
71258,10,10
105321,23,13
62133,8,4
121366,25,1
102070,4,4
16210,18,9
83246,5,25
69913,23,4
47991,11,4
38376,4,4
75585,5,10
26839,18,3
56311,1,9
16391,4,3
80283,14,3
9101,22,12
43806,4,4
106795,20,20
58223,7,5
90881,0,0
113407,11,11
119647,25,25
101492,28,28
85652,1,9
66218,7,7
12584,25,7
73151,10,10
103130,1,1
11257,1,27
27971,8,4
27078,4,7
74262,20,20
112772,25,25
85393,4,4
82682,13,13
45071,5,1
18844,4,4
41068,9,9
61361,3,28
46605,21,1
12789,4,28
32565,4,4
23213,4,4
12482,1,1
62264,4,4
27850,26,15
19527,20,25
47714,4,4
120747,1,7
621,4,4
24506,4,4
6194,20,25
29753,15,15
53936,4,11
84838,0,5
40559,4,4
33674,22,22
65163,4,4
98792,13,20
121000,29,22
80216,4,15
105413,22,1
7600,4,4
17164,11,25
122008,16,16
64257,26,1
104380,8,25
105205,30,1
89717,28,10
55440,20,20
64431,0,6
112207,27,4
52570,1,1
122311,23,1
55213,4,4
22296,1,1
52015,4,4
68561,4,4
79502,1,1
49077,5,23
87485,1,1
110649,0,0
28815,3,3
78013,4,13
32722,4,4
56421,3,3
24445,3,25
13995,2,28
115732,28,5
1923,4,4
23879,4,4
80917,26,26
107382,25,25
53398,6,1
62312,4,4
86469,10,1
110791,10,1
49234,1,1
17411,23,4
89090,16,1
16305,4,4
44065,8,1
89415,9,9
34751,8,7
58379,23,3
40590,5,1
58375,4,4
31123,26,4
56789,4,4
72482,19,4
124899,1,1
109930,25,25
58109,26,28
94087,7,11
10838,7,7
110473,11,4
72376,3,0
119023,8,1
111922,25,25
94762,4,26
5134,10,10
48965,4,4
89421,19,7
31539,13,13
11643,4,8
13083,4,3
95772,25,25
67193,24,20
75482,4,4
88575,29,29
15138,13,20
8619,23,4
101801,30,22
100094,25,25
95039,19,3
124477,3,12
6046,1,1
85719,7,1
24157,21,1
119592,30,9
11791,4,4
103452,25,23
75682,4,4
112100,0,4
80424,13,25
88763,28,4
56405,1,1
17364,1,1
2129,11,11
91413,19,25
41884,8,1
98004,4,4
39962,20,4
87660,6,6
102637,6,1
62795,25,25
45914,8,8
84362,4,4
40815,5,0
83366,4,11
28674,4,4
26821,4,4
66632,4,4
41127,0,5
109699,9,9
14098,4,4
73270,16,4
109113,13,4
948,1,9
18928,2,26
19447,4,4
93999,28,4
79219,22,1
9945,4,4
97160,15,7
39668,4,0
4751,4,4
48711,26,26
112731,25,25
3319,1,1
82342,8,8
106432,28,4
37373,4,4
24775,4,4
48309,16,16
9600,0,0
13684,0,0
6578,1,1
20748,12,25
77927,6,20
99709,29,24
69250,4,4
18437,1,1
50735,11,4
4040,4,4
53376,26,4
73317,14,25
20370,1,1
96644,20,7
26566,8,4
91204,1,1
35637,9,1
45867,4,4
120088,22,22
43521,4,26
112380,6,6
28661,17,7
110347,1,22
3565,4,4
40049,4,1
68032,22,1
74685,1,1
62354,27,8
5314,1,1
94787,3,7
41797,21,1
47961,8,13
120230,25,25
35134,4,4
81247,6,1
37022,1,1
120428,25,25
29102,4,4
103690,11,11
68343,4,4
5705,9,9
73070,4,4
19775,4,4
61172,14,25
36905,1,1
67739,16,16
26882,4,4
105261,22,3
20206,4,4
52860,4,4
124975,3,4
17289,2,23
68471,4,4
8409,6,1
13804,4,4
85402,4,4
98341,23,25
35957,23,3
92709,11,11
23420,4,4
93941,25,11
116662,11,25
106446,28,4
2136,4,4
75860,1,1
70319,8,8
88032,12,12
88411,25,25
25918,4,4
112143,1,0
46513,1,7
78732,20,20
17555,4,4
32673,4,4
5145,4,4
39741,7,4
10824,4,4
11118,8,8
28938,4,4
26647,18,3
46817,4,4
24095,2,4
55834,4,4
41696,4,4
25508,2,28
61222,4,4
40040,3,25
49751,1,1
102825,28,3
31744,6,9
23355,4,11
77212,30,9
102343,8,1
19007,1,6
91591,19,15
116668,13,4
65797,1,1
67682,4,4
33671,4,4
72389,4,4
96977,29,9
99367,13,13
50367,21,10
34418,1,1
24052,4,4
117090,28,4
24035,2,26
73337,19,3
84053,15,25
16540,11,11
14044,1,4
121109,9,9
74902,4,8
65051,14,11
106123,25,3
49435,1,1
21273,1,1
36733,1,1
86930,7,7
12972,4,4
31062,27,25
73625,6,6
59374,4,4
63072,23,11
120327,23,3
112468,1,1
27469,23,4
24186,11,23
77444,25,5
33225,10,4
4287,4,4
57646,14,11
80783,4,4
105223,29,27
90326,1,1
65505,19,11
115370,12,4
100576,11,7
93638,9,11
54903,4,4
11307,6,1
79869,4,4
76565,1,1
100208,4,4
91105,25,5
9645,4,7
121463,6,4
49078,4,4
28237,4,4
63377,4,4
37360,1,1
69408,11,4
68430,11,25
36987,11,13
103249,4,4
116692,9,9
63065,24,24
39910,5,1
82808,4,4
72820,4,13
116604,5,1
60260,4,4
73139,10,8
109853,25,25
55933,8,1
35760,26,26
18664,1,1
12642,20,20
24697,4,23
120633,20,30
51669,24,10
25291,4,13
50965,4,25
72732,0,28
28017,1,1
95643,1,1
35479,1,8
54190,26,26
32184,25,4
51668,4,4
31144,4,4
93958,25,25
4058,1,1
49784,23,25
42978,4,4
5864,8,10
91946,24,12
90993,1,4
75296,8,4
27923,4,7
122954,23,23
36732,22,8
55886,26,26
69009,1,1
115448,24,24
11547,22,5
1549,4,4
57452,23,29
55288,4,4
93600,20,3
8183,0,4
88140,11,11
82498,0,4
88806,13,4
42419,1,8
97875,0,4
92654,25,25
49419,1,1
98803,4,4
119601,23,4
83223,10,10
124563,11,24
17213,4,4
25687,1,1
87348,4,4
78495,15,15
93210,10,10
101137,0,0
92572,4,4
13535,13,13
44913,20,20
68091,24,24
87664,23,15
62833,4,4
96065,4,23
23288,4,4
66595,15,15
21589,4,4
2324,4,4
111319,17,4
24348,9,9
41678,3,3
74511,7,13
85531,14,20
38530,23,11
2201,4,4
119405,30,30
100530,16,7
75102,1,1
89809,20,11
58772,20,1
12346,4,28
44061,6,6
476,1,1
58273,4,4
40625,1,1
50114,1,1
9602,4,25
56576,1,1
7340,4,10
81505,1,1
35119,26,15
96660,19,1
9900,1,1
20352,26,26
62769,15,4
77412,4,4
23971,9,9
14086,20,20
90372,25,25
120835,25,25
27021,4,4
52568,1,1
27972,4,4
56737,4,4
1764,1,4
112802,20,20
72985,5,1
12622,13,13
9842,10,10
52111,26,26
93266,4,4
43149,4,4
79007,1,1
32215,4,4
47797,4,1
112129,11,25
43907,12,4
59953,1,1
42570,12,11
13371,4,4
78360,1,1
77289,7,15
35373,26,2
33255,20,6
101410,30,1
48252,25,25
118778,5,0
101903,11,11
69186,1,1
8551,1,1
47230,15,3
86926,20,20
121143,25,20
73178,4,5
63267,26,26
12739,8,4
79081,25,25
33068,8,4
124524,25,25
12440,4,4
62611,14,4
46958,20,20
9093,4,4
76172,4,4
457,8,1
55622,25,25
22048,4,1
110341,3,7
119344,5,3
105191,8,5
30811,1,1
51608,26,10
52013,10,10
36835,9,9
25770,4,4
36100,4,25
71790,1,1
112517,28,28
116019,3,3
32134,0,0
49445,26,4
14051,7,25
23657,25,20
44152,4,4
75099,4,4
121373,16,13
120409,12,7
51680,24,5
37601,9,4
1390,2,26
79728,15,7
46395,4,4
32166,0,4
74502,15,15
44376,10,10
119659,25,25
57543,13,4
119238,15,4
81005,5,4
90931,24,24
72814,25,20
96331,0,0
74351,6,1
62436,22,22
27985,26,3
5359,10,4
57484,10,10
88334,3,4
5711,4,1
63809,14,25
94798,23,23
115086,22,9
9462,20,21
25894,3,3
18843,4,8
16426,25,1
102357,25,25
74810,17,7
17599,20,25
108335,1,1
39262,4,28
86179,25,25
122535,13,8
9548,4,4
92807,9,15
36885,4,4
42947,0,0
71084,16,4
72456,21,1
23451,4,26
34089,17,9
62967,4,4
101340,28,0
91437,1,1
112825,13,4
85440,25,25
118279,11,11
23745,2,26
87650,30,29
142,5,1
13600,4,4
101149,28,26
34251,4,4
116263,15,26
20921,9,4
9249,1,1
4608,4,4
52303,1,10
53299,4,4
23526,3,8
57488,9,4
32220,12,25
81836,13,13
85976,20,29
11124,2,2
15153,8,10
45651,4,4
117617,13,10
61605,1,1
54949,10,10
70225,19,4
33806,4,4
99049,3,25
97960,7,25
29071,21,4
46338,4,10
47527,4,4
58011,24,11
112738,25,9
101236,11,11
39421,26,25
3461,4,4
5581,6,9
122903,18,4
4738,4,4
80476,22,4
21396,1,8
97650,25,25
38070,26,26
25149,6,7
79412,4,4
21701,9,9
39227,26,26
32754,1,1
26136,22,22
70287,4,4
118742,11,4
47021,11,11
100612,19,7
44207,9,9
55838,9,9
105867,4,4
10383,4,4
55274,27,30
72675,10,8
105852,4,4
47228,20,20
42921,4,4
83972,4,4
6361,4,4
98041,6,4
84279,4,4
40773,17,15
123554,23,16
58331,27,3
120945,13,13
91247,11,11
93437,7,25
107282,25,25
11619,4,4
91175,3,3
96272,4,4
71928,4,8
94564,25,25
68221,1,1
113586,4,16
11336,4,4
82371,4,4
124626,30,1
44847,0,0
118119,6,7
13260,9,9
109755,7,3
57401,4,1
94766,12,20
96425,5,11
74653,5,20
25397,20,20
69316,13,4
15314,22,1
79328,4,4
104529,28,28
41406,24,24
40951,4,4
79221,5,5
70804,4,4
37614,4,4
2394,4,4
64101,8,7
26860,26,10
66109,16,16
115616,20,25
94175,12,12
54899,4,4
27054,4,4
24746,2,4
82377,5,5
25662,4,4
56566,9,9
55727,11,12
20097,22,1
117083,0,12
105560,9,11
41254,4,4
60082,13,25
120666,7,7
95552,11,11
94623,3,11
20260,1,1
115597,15,3
107705,1,1
43362,8,1
101758,25,25
53930,27,1
29848,1,1
34796,4,4
32473,24,11
102860,28,26
67900,22,1
124973,28,4
51075,27,8
99160,22,1
76273,13,13
17923,1,1
87684,1,1
114664,1,8
103179,22,22
71935,13,4
118202,27,22
122769,10,26
97738,25,25
124,4,4
96096,28,28
90734,22,22
17765,1,1
74909,4,4
110314,4,4
24258,15,4
104955,1,1
838,4,4
15894,1,1
90977,8,9
79929,4,4
107700,25,20
74411,4,9
18342,9,1
116550,4,26
119408,28,27
10670,4,4
60095,22,1
88604,1,1
119809,4,4
25014,21,7
64563,0,4
77804,26,26
101319,11,11
117326,13,1
3807,4,4
79296,4,4
30274,1,1
62492,6,9
113681,1,1
117673,25,7
27144,0,0
94521,11,4
6491,4,4
62048,4,4
45568,4,4
2212,4,4
113337,4,4
20351,13,4
71898,4,13
11751,9,9
119732,11,11
93401,11,11
50614,1,1
11761,22,1
97026,9,9
123336,0,30
124842,11,14
117791,24,4
58842,1,4
3091,1,1
12176,4,4
92924,12,12
103562,28,4
94180,0,0
66434,7,7
102296,11,11
93021,1,4
117446,0,4
55603,0,0
1045,4,4
3434,1,1
101247,11,24
41433,4,4
70,9,9
92330,25,25
4059,10,8
42096,9,1
73828,6,24
110544,1,1
8045,4,4
19051,1,1
2362,10,10
111722,22,22
100875,11,11
2909,6,6
75913,26,5
15826,23,4
16688,1,10
59794,4,4
82958,4,4
113572,1,7
73051,27,27
27896,9,15
39525,5,25
8325,2,2
29463,25,4
51791,26,28
51611,12,8
62589,4,4
39635,4,4
19373,25,7
46018,1,1
12711,22,22
35484,9,9
97957,25,25
87484,1,30
28011,4,4
107906,9,1
51247,4,4
46320,1,1
63097,14,25
18120,9,9
21967,1,4
99130,30,20
85725,25,25
14753,17,7
25197,4,8
103574,1,1
101110,28,2
63061,4,1
39692,10,10
25297,2,15
59688,1,1
77738,25,25
107457,4,4
64743,14,11
15820,25,6
1326,14,14
23673,4,13
31078,8,8
34835,21,9
4193,5,5
52792,27,11
20602,10,1
118373,12,5
1550,4,4
11081,4,4
52325,4,4
81772,6,6
109883,4,28
10678,1,1
2764,4,4
82724,4,1
15760,20,27
109434,3,4
41889,4,4
77441,1,1
75434,24,1
5644,1,7
5223,1,1
13308,4,4
31037,6,6
85209,1,1
74419,10,10
50823,10,10
60442,4,4
37885,25,5
42358,4,4
89128,20,20
44218,4,4
30014,1,1
19243,2,4
35681,25,25
116433,4,11
15272,7,9
88376,29,12
123118,9,9
113617,30,22
70896,4,15
2797,6,6
42709,4,4
15533,2,4
21846,4,4
92891,9,9
106166,13,5
94329,20,25
93523,25,25
68704,27,1
73188,6,1
52615,26,26
84005,6,1
86165,14,4
94110,28,26
100376,10,10
124079,4,4
4162,8,8
48391,4,4
812,4,4
5794,4,4
66289,12,24
59054,1,8
94726,4,15
102027,30,1
48905,4,4
71624,14,1
96816,28,26
38957,14,25
23717,1,1
74560,20,20
73949,13,1
112864,19,11
89484,22,22
54950,4,4
14631,4,4
61974,19,25
61674,9,9
58404,26,26
74846,4,4
58464,10,1
36406,6,4
105813,9,9
45888,1,4
41322,4,4
112177,25,25
24537,7,4
106325,12,12
89752,23,4
69582,4,4
63245,4,4
76923,27,10
90946,20,1
16624,25,4
109131,20,12
24369,7,4
96645,11,11
653,4,13
57177,4,4
124877,15,8
108486,4,4
85236,10,10
44986,21,4
3288,6,6
85200,4,13
